rank	TF	cluster1_mean_zscore	cluster2_mean_zscore	t_statistic	pval	FDR	logp
117	ENSG00000162772_LINE458_ATF3_D_N1	-1.61707606578947	-5.49739161290323	5.16050566022448	8.93949799037791e-07	5.99763852551818e-06	6.0486868689144
118	ENSG00000085276_LINE670_MECOM_D_N1	-0.0655389552631579	0.783035035483871	-5.15805798165016	9.55222936238386e-07	6.3455481104227e-06	6.01989525807172
119	ENSG00000170365_LINE3328_SMAD1_D	0.289841381578947	-0.758560483870968	5.13907770724072	9.78141067642063e-07	6.3455481104227e-06	6.00959850668429
120	ENSG00000113658_LINE19374_SMAD5_I_N1	0.289841381578947	-0.758560483870968	5.13907770724072	9.78141067642063e-07	6.3455481104227e-06	6.00959850668429
121	ENSG00000120693_LINE19391_SMAD9_I_N1	0.289841381578947	-0.758560483870968	5.13907770724072	9.78141067642063e-07	6.3455481104227e-06	6.00959850668429
122	ENSG00000125798_LINE1966_FOXA2_D_N1	0.0567374736842105	0.887849872580645	-5.13513964438375	9.96169189585572e-07	6.38137637049778e-06	6.00166689464529
123	ENSG00000105610_LINE802_KLF1_D	1.38687121052632	0.452136629032258	5.12369449353851	1.00805221175939e-06	6.38137637049778e-06	5.99651697315661
124	ENSG00000127528_LINE2759_KLF2_I_N1	1.38687121052632	0.452136629032258	5.12369449353851	1.00805221175939e-06	6.38137637049778e-06	5.99651697315661
125	ENSG00000162924_LINE3217_REL_D_N3	0.206222065789474	-1.22728756451613	5.1226021061227	1.02120274417606e-06	6.41290753918435e-06	5.99088802683007
126	ENSG00000116017_LINE45_ARID3A_D_N1	-0.536730236842105	0.3520735	-5.11498366053997	1.11283417419625e-06	6.92489821562083e-06	5.95356954599501
127	ENSG00000169981_LINE1124_ZNF35_I	-0.0952795815789474	0.864152790322581	-5.16025028878245	1.12037677418637e-06	6.92489821562083e-06	5.95063590283602
128	ENSG00000109320_LINE3203_NFKB1_D_N1	-0.185846546052632	-1.40491851612903	5.06165261382369	1.34299747152878e-06	8.2360361380836e-06	5.87192480497993
129	ENSG00000177045_LINE2505_SIX5_D_N1	-0.697820313157895	0.246778677419355	-5.06439420678434	1.44113078721661e-06	8.76933586989094e-06	5.84129660378767
130	ENSG00000130700_LINE2097_GATA5_D_N1	9.13958421052632	6.45423032258064	5.04059372058634	1.48783238382339e-06	8.98387443109648e-06	5.82744599276923
