name	type	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
singles-BM0828-MPP-frozen-151103-78	MPP	30.806	-9.287	-3.5933	5.142	3.9854	1.1438	1.859	0.44768	-1.692	-2.4004
singles-BM0828-MPP-frozen-151103-80	MPP	37.283	-5.6156	0.019012	4.4953	2.9703	0.64018	1.7467	-0.26033	-2.0245	-2.2331
singles-BM0828-MPP-frozen-151103-83	MPP	31.935	-9.6442	-3.1092	6.1317	3.633	0.33925	2.3893	-0.70366	-2.1015	-2.1945
singles-BM0828-MPP-frozen-151103-84	MPP	31.294	-7.8077	-4.7166	4.3711	4.3638	1.632	1.7046	-0.088613	-1.7179	-2.0751
singles-BM0828-MPP-frozen-151103-85	MPP	36.478	-7.7756	-0.57777	5.0358	2.8526	1.2284	2.2434	-0.4577	-1.6227	-2.2292
singles-BM0828-MPP-frozen-151103-88	MPP	33.859	-9.2605	-2.5721	5.8414	3.1207	0.22041	2.4301	-1.2168	-1.5333	-2.203
singles-BM0828-MPP-frozen-151103-90	MPP	36.926	-6.1455	-1.226	3.8181	2.5642	1.4387	1.7139	-0.51439	-1.2642	-2.1826
singles-BM0828-MPP-frozen-151103-91	MPP	34.806	-6.9562	-0.62806	3.6769	1.535	1.3615	1.8862	-0.588	-0.91013	-2.282
singles-BM0828-MPP-frozen-151103-92	MPP	34.899	-8.9036	-2.1978	5.0763	3.4786	1.5006	2.3177	-0.28845	-1.5043	-2.3062
singles-BM0828-MPP-frozen-151103-93	MPP	36.902	-7.0363	-0.65284	4.4557	2.8174	1.2423	2.0228	-0.12787	-1.6665	-2.2772
singles-BM0828-MPP-frozen-151103-96	MPP	36.944	-6.5048	0.15745	4.3585	2.4799	0.76233	1.8242	-0.60249	-1.6275	-2.2767
singles-BM0828-LMPP-frozen-151105-1	LMPP	35.481	-2.2084	-0.77026	4.172	4.5172	1.1983	1.0366	-0.22794	-1.7248	-2.3483
singles-BM0828-LMPP-frozen-151105-2	LMPP	37.573	-3.3045	-2.1576	4.6877	4.1418	0.6306	1.1869	-0.4889	-1.6123	-2.3221
singles-BM0828-LMPP-frozen-151105-3	LMPP	37.095	-3.2146	-1.7715	4.594	4.575	0.98264	1.1827	-0.47416	-1.7829	-2.3468
singles-BM0828-LMPP-frozen-151105-4	LMPP	36.212	-4.2356	-0.11937	4.7741	4.1089	0.41003	1.1916	-0.49945	-1.9335	-2.4239
singles-BM0828-LMPP-frozen-151105-5	LMPP	37.163	-4.0055	-1.8496	4.5533	4.5452	1.1505	1.0961	-0.41245	-1.7344	-2.3356
singles-BM0828-LMPP-frozen-151105-6	LMPP	37.648	-2.9954	-2.6871	4.9507	4.3368	1.0678	1.6039	-0.015502	-1.6327	-2.25
singles-BM0828-LMPP-frozen-151105-7	LMPP	35.143	-3.4181	-0.3143	4.8309	3.8248	-0.28308	0.95632	-0.85703	-1.7455	-2.2259
singles-BM0828-LMPP-frozen-151105-8	LMPP	36.24	-2.3286	-1.4169	5.2622	4.668	1.4837	1.2752	-0.6918	-1.7086	-2.5139
singles-BM0828-LMPP-frozen-151105-10	LMPP	36.993	-4.0546	-1.8566	4.7826	4.7137	1.4366	1.2836	-0.091948	-1.7671	-2.298
singles-BM0828-LMPP-frozen-151105-11	LMPP	36.713	-2.7918	-3.6785	4.2628	4.3996	1.3422	1.2437	-0.41774	-1.419	-2.3899
singles-BM0828-LMPP-frozen-151105-12	LMPP	37.709	-3.0288	-3.4199	4.9194	4.3336	0.44659	1.6818	-0.38112	-1.7214	-2.289
singles-BM0828-LMPP-frozen-151105-13	LMPP	37.001	-3.1956	-1.9825	4.2105	4.1277	0.3167	1.2076	-0.68407	-1.6485	-2.3981
singles-BM0828-LMPP-frozen-151105-14	LMPP	37.742	-3.366	-3.0438	4.5345	4.4225	1.3447	1.7384	-0.39058	-1.8338	-2.3476
singles-BM0828-LMPP-frozen-151105-15	LMPP	35.332	-3.4379	0.25797	4.8137	2.9562	-0.056985	1.3668	-0.74971	-1.9988	-2.2205
singles-BM0828-LMPP-frozen-151105-16	LMPP	36.103	-2.9353	-0.50444	4.7883	4.1688	0.46954	1.1418	-0.55837	-2.0135	-2.3259
singles-BM0828-LMPP-frozen-151105-17	LMPP	34.157	-1.6204	0.0068926	4.5413	3.659	0.045878	0.87853	-0.57338	-2.0664	-2.2291
singles-BM0828-LMPP-frozen-151105-18	LMPP	36.316	-4.3292	-0.2157	4.6236	3.5556	0.48879	0.94462	-0.67711	-1.6703	-2.2936
singles-BM0828-LMPP-frozen-151105-19	LMPP	35.726	-3.108	-0.29894	5.0483	4.2401	0.83164	0.94852	-0.6602	-1.9214	-2.2429
singles-BM0828-LMPP-frozen-151105-20	LMPP	36.863	-4.6665	-0.57369	4.4364	3.7286	0.83753	1.1561	-0.63456	-1.8465	-2.3252
singles-BM0828-LMPP-frozen-151105-21	LMPP	33.189	-2.0783	0.76822	4.3681	4.1878	0.041498	0.72462	-0.69221	-1.8217	-2.1535
singles-BM0828-LMPP-frozen-151105-22	LMPP	34.186	-2.9176	0.81454	4.5855	3.3695	-0.078333	0.9545	-0.72134	-1.8818	-2.2181
singles-BM0828-LMPP-frozen-151105-23	LMPP	36.415	-3.3798	-0.64911	4.7819	4.0416	0.74489	0.91799	-0.65303	-1.7028	-2.2785
singles-BM0828-LMPP-frozen-151105-24	LMPP	35.556	-2.9167	-0.96308	4.6191	4.5693	0.98811	0.72288	-0.55539	-1.7173	-2.2224
singles-BM0828-LMPP-frozen-151105-25	LMPP	36.321	-3.9637	-0.27042	5.25	4.2898	1.0094	1.3742	-0.44	-2.0864	-2.1753
singles-BM0828-LMPP-frozen-151105-26	LMPP	35.913	-3.5353	-0.26692	4.6153	3.9303	0.30162	0.98896	-0.72969	-1.8266	-2.3366
singles-BM0828-LMPP-frozen-151105-27	LMPP	37.42	-3.8425	-1.2864	4.9908	4.359	0.81593	1.3141	-0.53096	-1.8915	-2.3505
singles-BM0828-LMPP-frozen-151105-29	LMPP	35.444	-3.6749	-0.45329	5.0242	4.2224	0.47052	0.78676	-0.6745	-1.9417	-2.1766
singles-BM0828-LMPP-frozen-151105-30	LMPP	37.905	-5.2701	-3.6581	5.1544	4.4899	1.0182	1.9982	-0.18254	-1.7276	-2.1294
singles-BM0828-LMPP-frozen-151105-31	LMPP	36.875	-2.9204	-4.2667	5.042	4.4068	1.368	1.98	0.019571	-1.6563	-2.2237
